"用例编号","级别","一级模块","二级模块","功能","验证点","前置条件","测试步骤","测试数据","预期结果","测试结果","执行人","执行时间","编写人","编写时间","备注"
"APS_JCPZ_0785","中级","基础配置","供应商管理","列表","验证供应商管理列表页面加载是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限","步骤1: 点击左侧菜单「基础配置」
步骤2: 点击子菜单「供应商管理」
步骤3: 观察页面各区域是否正常渲染","","1. 供应商管理页面正常加载，无报错
2. 列表正常展示供应商数据
3. 顶部搜索区、操作按钮栏均正常显示","通过","Hooplus1ce","2026/8/11","李海珍","2026/7/31",""
"APS_JCPZ_0786","中级","基础配置","供应商管理","列表","验证列表表头字段完整展示","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 进入供应商管理列表页面
步骤2: 查看列表表头字段列","配置字段:供应商名称
条件类型:包含","1. 列表表头正确展示：创建组织、使用组织、供应商名称、供应商编码、供应商简称、供应商类型、创建人、创建时间、更新人、更新时间、国家、地址、数据状态、禁用状态、协同方式、联系人、电话、手机、传真、电子邮箱、备注
2. 列头顺序与初始列表顺序一致
3. 所有列头字段名称无错别字","通过","Hooplus1ce","2026/8/11","李海珍","2026/7/31",""
"APS_JCPZ_0787","中级","基础配置","供应商管理","列表","验证列表分页功能是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.供应商数据超过1页","步骤1: 进入供应商管理列表页面
步骤2: 点击分页「下一页」
步骤3: 点击「上一页」","新增字段:供应商编码
条件类型:包含","1. 分页组件正常展示，显示总条数、总页数
2. 点击下一页列表数据正确切换
3. 点击上一页返回原页数据","通过","胡嘉斌","2026/8/11","李海珍","2026/7/31",""
"APS_JCPZ_0788","中级","基础配置","供应商管理","列表","验证列表每页显示数量切换是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.供应商数据超过切换后的每页显示条数","步骤1: 进入供应商管理列表页面
步骤2: 切换每页显示条数（如20条→50条）","每页条数:50条/页","1. 列表按新条数重新分页展示
2. 每页展示条数与所选一致
3. 总页数重新计算正确","通过","Hooplus1ce","2026/8/11","李海珍","2026/7/31",""
"APS_JCPZ_0789","中级","基础配置","供应商管理","列表","验证列表排序功能是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 进入供应商管理列表页面
步骤2: 点击「供应商编码」列头排序图标
步骤3: 再次点击切换排序方向","搜索字段:供应商名称
条件类型:包含
搜索值:（供应商名称关键字）","1. 首次点击按升序排列并显示升序图标
2. 再次点击按降序排列并显示降序图标
3. 排序后数据顺序正确","通过","Hooplus1ce","2026/8/11","李海珍","2026/7/31",""
"APS_JCPZ_0790","中级","基础配置","供应商管理","列表","验证列设置功能入口及基础功能是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 进入供应商管理列表页面
步骤2: 点击列设置图标
步骤3: 查看列设置面板","搜索字段:供应商编码
条件类型:包含
搜索值:（供应商编码关键字）","1. 列设置入口图标正常显示
2. 点击后列设置面板正常弹出
3. 面板展示所有可配置字段及显示/隐藏勾选状态","通过","Hooplus1ce","2026/8/11","李海珍","2026/7/31",""
"APS_JCPZ_0791","中级","基础配置","供应商管理","列表","验证列设置-隐藏列功能是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 打开列设置面板
步骤2: 取消勾选某字段（如「传真」）
步骤3: 确认后查看列表","隐藏字段:传真","1. 被取消勾选的字段在列表中隐藏
2. 其余字段展示不受影响","通过","Hooplus1ce","2026/8/11","李海珍","2026/7/31",""
"APS_JCPZ_0792","中级","基础配置","供应商管理","列表","验证列设置-显示列功能是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 打开列设置面板
步骤2: 重新勾选已隐藏的字段
步骤3: 确认后查看列表","搜索字段1:供应商名称
搜索值1:（名称关键字）
搜索字段2:供应商编码
搜索值2:（编码关键字）","1. 字段恢复显示在列表中
2. 数据展示正确","通过","Hooplus1ce","2026/8/11","李海珍","2026/7/31",""
"APS_JCPZ_0794","中级","基础配置","供应商管理","列表","验证列拖拽移动是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 进入供应商管理列表页面
步骤2: 拖拽某列头（如「供应商简称」）到其他位置","排序列:供应商编码","1. 列可拖拽移动
2. 拖拽后列顺序按新位置展示
3. 列数据随列头一起移动","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","供应商列拖拽移动功能正常"
"APS_JCPZ_0795","中级","基础配置","供应商管理","列表","验证列移动后刷新/重进页面是否保持","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 拖拽调整列顺序
步骤2: 刷新页面
步骤3: 退出后重新进入页面","","1. 刷新页面后列顺序保持调整后的状态
2. 重新进入页面列顺序仍保持","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","列顺序修改后保持正常"
